codigo_ug;nome_ug;situacao
152370;DIRETORIA DE EDUC A DISTANCIA E EDUC DIGITAL;Ativa
153062;UNIVERSIDADE FEDERAL DE MINAS GERAIS;Ativa
153254;ADMINISTRACAO GERAL/UFMG;Ativa
153255;BIBLIOTECA UNIVERSITARIA/UFMG;Ativa
153256;EDITORA DA UFMG;Ativa
153257;CENTRO DE COMUNICACAO DA UFMG;Ativa
153258;DIRETORIA DE TECNOLOGIA DA INFORMACAO;Ativa
153260;CENTRO ESPORTIVO UNIVERSITARIO/UFMG;Ativa
153261;HOSPITAL CLINICAS/UFMG;Ativa
153262;IMPRENSA UNIVERSITARIA/UFMG;Ativa
153263;LABORATORIO DE COMPUTACAO CIENTIFICA/UFMG;Ativa
153264;MUSEU HISTORICO NATURAL/UFMG;Ativa
153265;DEPARTAMENTO DE OBRAS/UFMG;Ativa
153267;DEPARTAMENTO MANUT. OPER.INFRA-ESTRUTURA/UFMG;Ativa
153269;PRO-REITORIA DE ADMINISTRACAO/UFMG;Ativa
153270;PRO-REITORIA DE PLANEJ.E DESENVOLVIMENTO/UFMG;Ativa
153271;PRO-REITORIA DE GRADUACAO/UFMG;Ativa
153272;PRO-REITORIA DE EXTENSAO/UFMG;Ativa
153273;PRO-REITORIA DE PESQUISA/UFMG;Ativa
153274;PRO-REITORIA DE POS-GRADUACAO/UFMG;Ativa
153275;ESCOLA DE ARQUITETURA/UFMG;Ativa
153276;ESCOLA DE BELAS ARTES/UFMG;Ativa
153277;ESCOLA DE CIENCIA DA INFORMACAO/UFMG;Ativa
153278;ESCOLA EDUCACAO FISICA FISIOT.TERAP.OCUP/UFMG;Ativa
153279;ESCOLA DE ENFERMAGEM/UFMG;Ativa
153280;ESCOLA DE ENGENHARIA/UFMG;Ativa
153281;ESCOLA DE MUSICA/UFMG;Ativa
153282;ESCOLA DE VETERINARIA/UFMG;Ativa
153283;FACULDADE DE CIENCIAS ECONOMICAS/UFMG;Ativa
153284;FACULDADE DE DIREITO/UFMG;Ativa
153285;FACULDADE DE EDUCACAO/UFMG;Ativa
153286;FACULDADE DE FARMACIA/UFMG;Ativa
153287;FACULDADE DE FILOSOFIA E CIENC. HUMANAS/UFMG;Ativa
153288;FACULDADE DE LETRAS/UFMG;Ativa
153289;FACULDADE DE MEDICINA/UFMG;Ativa
153290;FACULDADE DE ODONTOLOGIA/UFMG;Ativa
153291;INSTITUTO DE CIENCIAS BIOLOGICAS/UFMG;Ativa
153292;INSTITUTO DE CIENCIAS EXATAS/UFMG;Ativa
153293;INSTITUTO DE GEO-CIENCIAS/UFMG;Ativa
153294;CENTRO PEDAGOGICO/UFMG;Ativa
153295;COLEGIO TECNICO/UFMG;Ativa
153296;INSTITUTO DE CIENCIAS AGRARIAS/UFMG;Ativa
154459;PRO-REITORIA DE CULTURA DA UFMG;Ativa
